site_year	CleanerID	rel.abund.cleaners	rel.abund.visitors	rel.abund.residents	prob.Vis.Leav	visitorChoices	visitorChoices_pred
NHS_2018	CL06	0.234579	0.128687	0.636734	0.0615211	13	0.511751
NHS_2018	CL07	0.234579	0.128687	0.636734	0.0615211	15	0.511751
NHS_2018	CL08	0.234579	0.128687	0.636734	0.0615211	7	0.511751
NHS_2018	CL09	0.234579	0.128687	0.636734	0.0615211	13	0.511751
NHS_2018	CL10	0.234579	0.128687	0.636734	0.0615211	12	0.511751
CB_2018	CL11	0.0349447	0.0703393	0.894716	0.0646967	18	0.509222
CB_2018	CL12	0.0349447	0.0703393	0.894716	0.0646967	14	0.509222
CB_2018	CL13	0.0349447	0.0703393	0.894716	0.0646967	12	0.509222
CB_2018	CL14	0.0349447	0.0703393	0.894716	0.0646967	15	0.509222
CB_2018	CL15	0.0349447	0.0703393	0.894716	0.0646967	9	0.509222
CB_2018	CL16	0.0349447	0.0703393	0.894716	0.0646967	10	0.509222
CB_2018	CL17	0.0349447	0.0703393	0.894716	0.0646967	12	0.509222
CB_2018	CL18	0.0349447	0.0703393	0.894716	0.0646967	4	0.509222
CB_2018	CL19	0.0349447	0.0703393	0.894716	0.0646967	15	0.509222
CB_2018	CL20	0.0349447	0.0703393	0.894716	0.0646967	12	0.509222
MC_2018	CL21	0.53719	0.164223	0.298587	0.067399	11	0.5019
MC_2018	CL22	0.53719	0.164223	0.298587	0.067399	10	0.5019
MC_2018	CL23	0.53719	0.164223	0.298587	0.067399	9	0.5019
MC_2018	CL24	0.53719	0.164223	0.298587	0.067399	18	0.5019
MC_2018	CL25	0.53719	0.164223	0.298587	0.067399	14	0.5019
MC_2018	CL26	0.53719	0.164223	0.298587	0.067399	4	0.5019
MC_2018	CL27	0.53719	0.164223	0.298587	0.067399	18	0.5019
MC_2018	CL28	0.53719	0.164223	0.298587	0.067399	15	0.5019
MC_2018	CL29	0.53719	0.164223	0.298587	0.067399	10	0.5019
MC_2018	CL30	0.53719	0.164223	0.298587	0.067399	10	0.5019
TC_2018	CL31	0.606443	0.104289	0.289268	0.0992382	11	0.513316
TC_2018	CL32	0.606443	0.104289	0.289268	0.0992382	10	0.513316
TC_2018	CL33	0.606443	0.104289	0.289268	0.0992382	12	0.513316
TC_2018	CL34	0.606443	0.104289	0.289268	0.0992382	8	0.513316
TC_2018	CL35	0.606443	0.104289	0.289268	0.0992382	4	0.513316
TC_2018	CL36	0.606443	0.104289	0.289268	0.0992382	18	0.513316
TC_2018	CL37	0.606443	0.104289	0.289268	0.0992382	2	0.513316
TC_2018	CL38	0.606443	0.104289	0.289268	0.0992382	16	0.513316
TC_2018	CL39	0.606443	0.104289	0.289268	0.0992382	0	0.513316
TC_2018	CL40	0.606443	0.104289	0.289268	0.0992382	13	0.513316
MC_2016	CL01	0.284939	0.355571	0.35949	0.0408875	14	0.5151
MC_2016	CL02	0.284939	0.355571	0.35949	0.0408875	9	0.5151
MC_2016	CL03	0.284939	0.355571	0.35949	0.0408875	15	0.5151
MC_2016	CL04	0.284939	0.355571	0.35949	0.0408875	8	0.5151
MC_2016	CL05	0.284939	0.355571	0.35949	0.0408875	15	0.5151
MC_2016	CL06	0.284939	0.355571	0.35949	0.0408875	8	0.5151
MC_2016	CL07	0.284939	0.355571	0.35949	0.0408875	6	0.5151
MC_2016	CL08	0.284939	0.355571	0.35949	0.0408875	5	0.5151
MC_2016	CL09	0.284939	0.355571	0.35949	0.0408875	10	0.5151
MC_2016	CL10	0.284939	0.355571	0.35949	0.0408875	11	0.5151
NHS_2016	CL21	0.104686	0.141083	0.754232	0.0429897	16	0.510436
NHS_2016	CL12	0.104686	0.141083	0.754232	0.0429897	15	0.510436
NHS_2016	CL13	0.104686	0.141083	0.754232	0.0429897	13	0.510436
NHS_2016	CL14	0.104686	0.141083	0.754232	0.0429897	14	0.510436
NHS_2016	CL15	0.104686	0.141083	0.754232	0.0429897	13	0.510436
NHS_2016	CL23	0.104686	0.141083	0.754232	0.0429897	18	0.510436
NHS_2016	CL17	0.104686	0.141083	0.754232	0.0429897	14	0.510436
NHS_2016	CL18	0.104686	0.141083	0.754232	0.0429897	13	0.510436
NHS_2016	CL19	0.104686	0.141083	0.754232	0.0429897	18	0.510436
NHS_2016	CL20	0.104686	0.141083	0.754232	0.0429897	11	0.510436
